Coefficient of current liquidity;Quick liquidity ratio;Absolute liquidity ratio;Receivables  turnover ratio;Turnover ratio of funds;Ratio of own and borrowed funds;Ratio of own working capital;Coefficient of autonomy;Degree of solvency in current liabilities;Return on net assets by net profit;Profitability;Profitability of sales;Failure
1,855297088;0,494782153;0,119244923;7,863328922;2,378773698;10,70132325;-0,393345785;0,08546042;2,710659424;0,114222734;0,158456577;0,040157883;0
2,195105683;1,759928126;0,225398382;3,939041567;2,90197327;1,073411323;-0,82001356;0,482296971;1,944814668;0,129966132;0,166585869;0,165310763;0
0,545856959;0,501225788;0,004404984;2,400745434;2,093566219;1,642197707;-0,956347197;0,378472814;15,55505851;0,283075189;0,285632163;0,252717382;0
2,075219061;1,738612677;0,06091253;2,934116765;2,36052118;1,50621703;0,310222398;0,399007743;2,584488761;0,246797557;0,308378901;0,051203924;0
0,32785003;0,203118219;0,007088528;3,587562638;1,706057665;-2,511513638;-2,074965896;-0,661588473;21,47882758;0,888498037;1,030044846;0,118537132;0
0,700584884;0,278257717;0,042754658;6,769697763;2,163431842;-7,975984969;-0,427378785;-0,143348933;9,340641268;-0,034466561;-0,034466561;0,013444519;0
0,930858962;0,312717235;0,001487258;10,07550103;3,61624643;8,426519233;-0,127016751;0,106083696;4,947799535;0,013552594;0,099725924;0,022334064;0
0,970405209;0,086490357;0,000843546;7,085649262;0,6925268;0,381454646;-0,128253238;0,723874651;13,98245759;-0,292571668;-0,291423784;-0,209036966;1
1,45073058;0,81210546;0,058882314;4,085596685;1,923924359;1,844942064;-0,050761983;0,351501007;4,954360738;-0,191403433;-0,230439197;0,12972804;0
1,005995015;0,987448269;0,021509555;4,123590742;3,923307429;145,0557793;0,005959289;0,006846699;3,442604106;0,144718143;0,510184747;0,043648864;0
0,542054519;0,141421447;0,002823406;25,42907263;5,758521531;0,375681159;-1,19999665;0,726912623;4,082855078;0,12713595;0,165739388;0,222677655;0
1,267098649;0,954405949;0,001936352;0,959044942;0,771168515;807,9496437;-0,181374568;0,001236171;12,34604382;-6,393349169;-6,530166271;0,058183791;0
1,088836591;0,491514816;0,001658244;2,932258393;1,113535234;-13,04895105;-0,701904496;-0,082994777;10,07710577;-0,617584499;-0,645724068;0,007813952;0
0,941419263;0,535350239;0,015041215;9,260127142;4,43780004;0,748657125;-0,974034457;0,571867398;3,216387283;0,163553335;0,202483877;0,216612916;0
1,052389;0,376573745;0,031382592;4,77850202;2,172155861;11,87111684;-0,105217546;0,077693336;5,982616439;0,027973267;0,088557855;0,04334405;0
1,657123057;0,871228061;0,083567123;3,188967139;1,576590471;3,89631105;-0,143399155;0,204235391;4,621900565;0,010010407;0,049123048;0,044221862;0
